arsenic,cadmium,lead,mercury
0.255,0.092,0.254,0.012
0.067,0.11,0.392,0.013
0.035,0.074,0.254,0.005968362916404044
0.611,0.1,1.012,0.007742242401877557
0.012306971237485692,0.0011722055543536163,0.0007250569076676876,0.00724923274604479
0.476,0.05,0.852,0.008512656919639013
0.093,0.0026217651180457805,0.0026429289222806907,0.00026636198307348303
0.005039984496578325,0.056,2.4370793933480518e-05,3.8621082206218404e-05
0.007337783684563302,0.0016127589778113785,0.0010235772747832388,0.00013941983941791135
0.12,2.668,0.195,0.009894327195953062
0.101,4.065,0.165,0.0017200696186464796
0.058,0.786,0.217,0.009130320799562608
0.003941858763806425,0.00034481764175888196,0.0035290444428989188,0.008237995349927403
0.00040089872379885707,0.0018386350204933756,0.0003607342961802922,0.0007726219906134909
0.198,0.0025233534274327306,0.026,0.004074477779093934
0.253,0.02,0.104,0.004073351952514881
0.027,0.01,0.028,0.005840886815104114
0.026,0.007,0.019,0.009508357411900387
0.172,0.129,0.053,0.001008640580077977
0.0027317845582131837,0.0033703982566179584,0.0018500735166720507,0.00887097565216756
0.011461397922715178,7.954911745278359e-05,0.00024260312928554528,0.0090343787873052
0.26,0.022,0.187,0.00966762876274531
0.009844849167566661,0.00048443981520509996,0.0029185606053400734,0.00513567593534912
0.082,0.021,0.137,0.0007168841624126004
0.108,0.023,0.111,0.00482604561290495
0.029,0.006,0.016,0.006012906753822522
0.102,0.023,0.188,0.006607188551295945
0.083,0.001435171332807515,0.162,0.0039668518026102495
0.067,0.0034081062106113636,0.0016290449021131566,0.007515949025207576
0.009057271250019127,0.0021191571234832913,0.0029863387957034977,0.009410370543084376
0.18,0.145,0.196,0.006650370026839023
0.069,0.079,0.101,0.0016685523122726444
0.075,0.112,0.0012041297168908227,0.0002891614346538396
0.322,0.027,0.188,0.01020280787976113
0.053,0.0017618770056513943,0.009,0.007135366267416328
0.069,0.006,0.0012973710332485125,0.01018376261347612
0.053,0.0026404886376865167,0.0014398119331047977,0.0032400204471559908
0.010427152744226032,0.002521074290586627,0.064,0.0012777291740077418
0.104,0.0027595496751471387,0.105,0.008419051635768116
0.126,0.092,0.251,0.001938199019026162
0.075,0.276,0.037,0.007508659790734786
0.136,0.36,0.053,0.009548315545451224
0.115,0.312,0.025,0.004427984819934077
