,order_date_received,accessioning_type,sample_id,arsenic_ug_g,cadmium_ug_g,lead_ug_g,mercury_ug_g
0,01/03/2022 11:40 AM,Leaf/Mixed Plant Material,211231-001,0.254333333333,0.723,0.451666666667,0.003
1,01/04/2021 12:38 PM,Concentrate,201229-006,,0.00653333333333,0.0308333333333,0.00873333333333
2,01/04/2021 12:38 PM,Concentrate,201229-007,,0.00706666666667,0.0322333333333,0.0121333333333
3,01/04/2021 12:42 PM,Concentrate,210104-044,,0.0123333333333,0.0374333333333,0.0154333333333
4,01/04/2021 12:42 PM,Concentrate,210104-063,,0.0118,0.300933333333,0.0147
5,01/05/2021 08:33 AM,Distillate,210104-096,0.00766666666667,,0.023,
6,01/06/2021 09:44 AM,Other,210105-035,0.0234,,0.0188,
7,01/07/2021 12:49 PM,Other,210107-017,0.00256666666667,,0.0202,
8,01/07/2022 10:15 AM,Flower,220104-001,0.0427333333333,0.0311333333333,0.0366333333333,
9,01/07/2022 10:15 AM,Flower,220104-002,0.0133333333333,0.0308,0.0166333333333,
10,01/07/2022 10:15 AM,Flower,220104-003,,0.0314,0.0199,0.000833333333333
11,01/07/2022 10:15 AM,Flower,220104-004,,0.0274333333333,0.0164,
12,01/08/2021 02:10 PM,Leaf/Mixed Plant Material,210107-039,0.0948666666667,0.0690666666667,4.34666666667,0.0616333333333
13,01/08/2021 02:10 PM,Tincture,210107-040,,,0.0139666666667,
14,01/08/2021 02:50 PM,Flower,210108-001,0.0882333333333,0.0434666666667,0.0460666666667,0.0210666666667
15,01/11/2021 03:29 PM,Topical,210111-048,0.0254,0.0277666666667,0.0708333333333,0.0273666666667
16,01/11/2021 03:29 PM,Topical,210111-049,0.0331333333333,0.0242666666667,0.0605666666667,0.0231
17,01/11/2021 03:29 PM,Topical,210111-050,0.0176666666667,0.0238666666667,0.0557333333333,0.0221333333333
18,01/11/2021 03:29 PM,Topical,210111-051,0.0225666666667,0.0223,0.0513,0.0209333333333
19,01/11/2021 03:29 PM,Topical,210111-052,0.0416,0.0217666666667,0.122333333333,0.0202
20,01/11/2021 03:29 PM,Topical,210111-053,0.00583333333333,0.0232,0.105333333333,0.0207666666667
21,01/11/2021 10:59 AM,Other,210110-001,0.0235333333333,0.0355,0.0981,0.0337333333333
22,01/11/2021 10:59 AM,Other,210110-002,0.0181,0.0354,0.0829666666667,0.0342333333333
23,01/12/2021 11:11 AM,Flower,210112-022,0.463333333333,0.0529,0.236,0.0260666666667
24,01/12/2021 11:11 AM,Flower,210112-023,0.0640666666667,0.0503333333333,0.158666666667,0.0239
25,01/12/2021 12:15 PM,Isolate,210111-127,0.0477,0.0404333333333,0.0914,0.0379666666667
26,01/12/2022 01:22 PM,Flower,220112-042,,0.0779333333333,0.0812,0.0114
27,01/12/2022 01:22 PM,Flower,220112-043,,0.0488666666667,0.0713333333333,0.0108333333333
28,01/12/2022 01:22 PM,Flower,220112-044,,0.0351333333333,0.0612333333333,0.0106333333333
29,01/12/2022 01:22 PM,Flower,220112-045,,0.0785,0.0704666666667,0.00996666666667
30,01/13/2022 11:22 AM,Flower,220112-047,0.182666666667,0.165,0.118666666667,
31,01/13/2022 11:22 AM,Flower,220112-048,0.0153,0.729,0.056,
32,01/14/2021 02:37 PM,Concentrate,210114-036,0.0110666666667,0.0073,0.029,0.00946666666667
33,01/14/2021 09:13 AM,Distillate,210114-010,,0.0073,0.0298,0.00913333333333
34,01/14/2022 10:23 AM,Topical,220111-001,0.00133333333333,0.00166666666667,0.0254333333333,0.00706666666667
35,01/18/2021 08:03 AM,Concentrate,210118-005,,,,0.0052
36,01/18/2021 10:39 AM,Concentrate,210115-031,,0.0199666666667,0.00656666666667,0.00466666666667
37,01/19/2022 09:27 AM,Leaf/Mixed Plant Material,220118-011,,0.0223333333333,0.0215666666667,
38,01/20/2021 01:34 PM,Leaf/Mixed Plant Material,210115-029,,0.195,1.43,
39,01/20/2021 01:34 PM,Leaf/Mixed Plant Material,210115-029,,0.0507,0.336,
40,01/20/2021 01:39 PM,Tincture,210120-041,,0.017,0.0184,0.0285666666667
41,01/20/2021 11:15 AM,Concentrate,210119-038,,,,0.0029
42,01/20/2021 11:15 AM,Concentrate,210119-039,,,,0.00316666666667
43,01/20/2021 11:15 AM,Kief / Hash,210119-040,0.374,0.275666666667,0.648,0.0075
44,01/20/2021 11:15 AM,Isolate,210119-041,,,,0.00186666666667
45,01/20/2021 11:15 AM,Concentrate,210119-042,,0.00253333333333,0.0918666666667,0.00213333333333
46,01/20/2021 11:15 AM,Concentrate,210119-043,,0.00456666666667,0.0868333333333,0.0008
47,01/20/2021 11:15 AM,Concentrate,210119-044,,0.00986666666667,0.0898,
48,01/20/2021 11:15 AM,Isolate,210119-045,,,,
49,01/20/2021 11:15 AM,Distillate,210119-046,,,,
50,01/20/2021 11:15 AM,Isolate,210119-047,,,0.0002,
51,01/20/2021 11:15 AM,Edible (Other),210119-048,,0.0003,0.028,
52,01/21/2021 12:36 PM,Distillate,210121-019,0.0304333333333,0.0246666666667,0.0187333333333,0.0396
53,01/22/2021 01:10 PM,Flower,210121-023,,0.0482,0.0528,0.0149666666667
54,01/22/2021 01:10 PM,Flower,210121-024,0.0410666666667,0.204,0.113,0.0175
55,01/22/2021 01:10 PM,Flower,210121-025,0.00943333333333,0.117,0.0922666666667,0.0174333333333
56,01/22/2021 01:10 PM,Flower,210121-026,0.0036,0.0288,0.0606333333333,0.0159333333333
57,01/22/2021 01:10 PM,Flower,210121-027,0.00456666666667,0.0628666666667,0.0727333333333,0.0150333333333
58,01/22/2021 01:10 PM,Flower,210121-028,0.0012,0.0320666666667,0.0614666666667,0.0139333333333
59,01/22/2021 01:10 PM,Flower,210121-029,,0.0473333333333,0.0545333333333,0.0135666666667
60,01/22/2021 01:10 PM,Flower,210121-030,,0.0974666666667,0.0445,0.0150666666667
61,01/22/2021 01:10 PM,Flower,210121-031,,0.0559333333333,0.0785333333333,0.0154
62,01/22/2021 01:10 PM,Flower,210121-032,0.0093,0.108333333333,0.0784,0.0132333333333
63,01/22/2021 01:10 PM,Flower,210121-033,0.0014,0.0577333333333,0.0726666666667,0.0148333333333
64,01/22/2021 01:10 PM,Flower,210121-034,0.0154,0.0568,0.0994666666667,0.0129666666667
65,01/24/2022 08:13 AM,Kief / Hash,220124-002,0.330666666667,0.383666666667,2.52666666667,0.0121666666667
66,01/25/2021 03:28 PM,Flower,210125-030,0.0101333333333,0.0634666666667,0.0861333333333,0.0173333333333
67,01/25/2021 04:35 PM,Distillate,210125-056,0.0102333333333,0.0169333333333,0.0182,0.0263
68,01/25/2021 12:14 PM,Concentrate,210124-001,0.0131666666667,0.0235666666667,0.139,0.0320333333333
69,01/25/2021 12:16 PM,Capsules,210124-002,0.0248333333333,0.0177,0.0165333333333,0.0300666666667
70,01/25/2021 12:16 PM,Capsules,210124-003,0.0115666666667,0.0178333333333,0.0133,0.0290666666667
71,01/25/2021 12:16 PM,Tincture,210124-004,0.0414666666667,0.0184,0.0137333333333,0.0344333333333
72,01/25/2021 12:16 PM,Flower,210124-005,,0.0791,0.0192333333333,0.0175333333333
73,01/25/2021 12:16 PM,Flower,210124-006,0.200333333333,0.0235,0.0360333333333,0.0168666666667
74,01/25/2021 12:16 PM,Flower,210124-007,,0.227333333333,0.0230333333333,0.0182333333333
75,01/25/2021 12:16 PM,Flower,210124-008,0.124333333333,0.142,0.201,0.0191
76,01/25/2021 12:16 PM,Flower,210124-009,,0.0635666666667,0.0420333333333,0.0196666666667
77,01/25/2021 12:16 PM,Flower,210124-010,,0.158666666667,0.0301666666667,0.0180666666667
78,01/26/2021 12:32 PM,Isolate,210125-054,,0.0195,0.0154,0.0245333333333
79,01/26/2021 12:32 PM,Concentrate,210125-053,0.0140333333333,0.0180666666667,0.0151,0.0264333333333
80,01/26/2022 10:58 AM,Concentrate,220125-010,0.0138666666667,0.0259,0.0663333333333,0.0117333333333
81,01/26/2022 10:58 AM,Concentrate,220125-011,0.00516666666667,0.0256,0.0610666666667,0.0125
82,01/26/2022 10:58 AM,Concentrate,220125-012,0.0469333333333,0.0265,0.0645,0.0119333333333
83,01/27/2021 01:09 PM,Flower,210127-068,0.181333333333,0.0556,,0.00713333333333
84,01/27/2021 01:25 PM,Capsules,210127-016,0.179,0.00426666666667,0.0165,0.0062
85,01/27/2021 03:04 PM,Concentrate,210126-051,0.015,0.0296,0.18,0.0232
86,01/27/2021 03:04 PM,Concentrate,210126-052,,,0.165,
87,01/27/2021 03:04 PM,Tincture,210126-053,,,0.0349,
88,01/27/2021 03:04 PM,Isolate,210126-054,,,0.154,
89,01/27/2021 03:04 PM,Isolate,210126-055,,,0.044,
90,01/27/2021 03:04 PM,Isolate,210126-056,,,0.038,
91,01/27/2021 03:36 PM,Flower,210127-069,0.0517333333333,0.0676666666667,0.312333333333,0.0139666666667
92,01/27/2021 03:36 PM,Flower,210127-070,0.116333333333,0.0125333333333,0.0322,0.0141
93,01/27/2021 03:36 PM,Flower,210127-071,0.0509,0.0395666666667,0.347333333333,0.0161666666667
94,01/27/2021 04:06 PM,Leaf/Mixed Plant Material,210126-015,0.0562666666667,0.0248666666667,0.0214666666667,0.00593333333333
95,01/27/2022 12:23 PM,Isolate,220126-005,0.0744666666667,0.0297,0.0746,0.0133
96,01/28/2021 09:51 AM,Kief / Hash,210127-076,0.426333333333,0.19,1.14,0.0071
97,01/28/2021 11:43 AM,Isolate,210127-073,,0.000933333333333,0.00236666666667,0.0137
98,01/28/2022 09:59 AM,Isolate,220127-006,0.0402666666667,0.0262333333333,0.0644,0.0121333333333
99,01/28/2022 09:59 AM,Distillate,220127-007,0.0380333333333,0.0239,0.116,0.0103333333333
100,01/29/2021 04:03 PM,Distillate,210129-017,,,,
101,02/01/2021 01:41 PM,Flower,210131-001,,0.0209,0.0186333333333,0.0109
102,02/01/2021 01:41 PM,Flower,210131-002,,0.0770666666667,0.0249,0.0093
103,02/01/2021 01:41 PM,Flower,210131-003,0.039,0.0791,0.0211333333333,0.0108333333333
104,02/01/2021 01:41 PM,Flower,210131-004,0.0319,0.0522333333333,0.0209,0.0087
105,02/01/2021 08:02 AM,Concentrate,210201-009,,,,
106,02/01/2021 09:35 AM,Concentrate,210129-018,,,,
107,02/02/2021 08:26 AM,Isolate,210202-014,,,,
108,02/02/2021 08:26 AM,Isolate,210202-015,,,,
109,02/02/2021 08:26 AM,Isolate,210202-016,,,,
110,02/02/2021 10:09 AM,Isolate,210201-077,,,,
111,02/03/2021 11:19 AM,Concentrate,210203-003,0.1102,0.0172,0.0414666666667,0.0140666666667
112,02/03/2021 11:19 AM,Tincture,210203-004,,0.0273333333333,0.255333333333,0.0145666666667
113,02/03/2021 11:19 AM,Concentrate,210203-005,0.0199,0.0172,0.0514666666667,0.0143333333333
114,02/04/2021 02:59 PM,Distillate,210203-006,0.0497333333333,0.0144,0.0499333333333,0.0115
115,02/04/2021 02:59 PM,Isolate,210203-007,0.0364666666667,0.0160666666667,0.0513,0.0118
116,02/04/2021 08:26 AM,Isolate,210203-078,,0.0157666666667,0.0495333333333,0.0135333333333
117,02/04/2021 08:26 AM,Concentrate,210203-077,,,,
118,02/04/2021 12:39 PM,Concentrate,210204-007,0.0004,0.0275666666667,0.0524333333333,0.0148
119,02/05/2021 03:17 PM,Tincture,210205-013,0.0411,0.0078,0.0235666666667,0.0299333333333
120,02/05/2021 03:17 PM,Tincture,210205-014,0.0648333333333,0.00713333333333,0.0167666666667,0.0198
121,02/05/2021 03:17 PM,Tincture,210205-015,0.0716,0.0067,0.0161333333333,0.0161333333333
122,02/05/2021 03:17 PM,Tincture,210205-016,0.053,0.00753333333333,0.126666666667,0.0169333333333
123,02/05/2021 09:41 AM,Isolate,210205-047,0.0143,0.0128,0.0435333333333,0.00946666666667
124,02/05/2021 12:21 PM,Isolate,210204-008,,,,
125,02/08/2021 02:06 PM,Kief / Hash,210207-001,,0.239666666667,0.0464333333333,
126,02/08/2021 02:06 PM,Kief / Hash,210207-002,0.354,0.413333333333,0.659666666667,
127,02/08/2021 02:06 PM,Concentrate,210207-003,,,,
128,02/10/2021 02:31 PM,Tincture,210209-009,,0.000866666666667,0.0014,0.000233333333333
129,02/10/2021 02:31 PM,Tincture,210209-010,,0.00856666666667,,
130,02/10/2021 02:31 PM,Tincture,210209-011,,0.0016,,
131,02/11/2021 09:27 AM,Concentrate,210210-014,,0.0123,0.0068,
132,02/11/2021 09:32 AM,Concentrate,210210-015,,,,0.00126666666667
133,02/11/2021 11:13 AM,Isolate,210210-009,,,,
134,02/11/2021 11:13 AM,Flower,210210-010,0.252,0.173666666667,0.562333333333,0.0657666666667
