,order_date_received,accessioning_type,sample_id,arsenic_ug_g,cadmium_ug_g,lead_ug_g,mercury_ug_g
0,01/03/2022 11:40 AM,Leaf/Mixed Plant Material,211231-001,0.254333333333,0.723,0.451666666667,0.003
8,01/07/2022 10:15 AM,Flower,220104-001,0.0427333333333,0.0311333333333,0.0366333333333,
9,01/07/2022 10:15 AM,Flower,220104-002,0.0133333333333,0.0308,0.0166333333333,
10,01/07/2022 10:15 AM,Flower,220104-003,,0.0314,0.0199,0.000833333333333
11,01/07/2022 10:15 AM,Flower,220104-004,,0.0274333333333,0.0164,
12,01/08/2021 02:10 PM,Leaf/Mixed Plant Material,210107-039,0.0948666666667,0.0690666666667,4.34666666667,0.0616333333333
14,01/08/2021 02:50 PM,Flower,210108-001,0.0882333333333,0.0434666666667,0.0460666666667,0.0210666666667
23,01/12/2021 11:11 AM,Flower,210112-022,0.463333333333,0.0529,0.236,0.0260666666667
24,01/12/2021 11:11 AM,Flower,210112-023,0.0640666666667,0.0503333333333,0.158666666667,0.0239
26,01/12/2022 01:22 PM,Flower,220112-042,,0.0779333333333,0.0812,0.0114
27,01/12/2022 01:22 PM,Flower,220112-043,,0.0488666666667,0.0713333333333,0.0108333333333
28,01/12/2022 01:22 PM,Flower,220112-044,,0.0351333333333,0.0612333333333,0.0106333333333
29,01/12/2022 01:22 PM,Flower,220112-045,,0.0785,0.0704666666667,0.00996666666667
30,01/13/2022 11:22 AM,Flower,220112-047,0.182666666667,0.165,0.118666666667,
31,01/13/2022 11:22 AM,Flower,220112-048,0.0153,0.729,0.056,
37,01/19/2022 09:27 AM,Leaf/Mixed Plant Material,220118-011,,0.0223333333333,0.0215666666667,
38,01/20/2021 01:34 PM,Leaf/Mixed Plant Material,210115-029,,0.195,1.43,
39,01/20/2021 01:34 PM,Leaf/Mixed Plant Material,210115-029,,0.0507,0.336,
53,01/22/2021 01:10 PM,Flower,210121-023,,0.0482,0.0528,0.0149666666667
54,01/22/2021 01:10 PM,Flower,210121-024,0.0410666666667,0.204,0.113,0.0175
55,01/22/2021 01:10 PM,Flower,210121-025,0.00943333333333,0.117,0.0922666666667,0.0174333333333
56,01/22/2021 01:10 PM,Flower,210121-026,0.0036,0.0288,0.0606333333333,0.0159333333333
57,01/22/2021 01:10 PM,Flower,210121-027,0.00456666666667,0.0628666666667,0.0727333333333,0.0150333333333
58,01/22/2021 01:10 PM,Flower,210121-028,0.0012,0.0320666666667,0.0614666666667,0.0139333333333
59,01/22/2021 01:10 PM,Flower,210121-029,,0.0473333333333,0.0545333333333,0.0135666666667
60,01/22/2021 01:10 PM,Flower,210121-030,,0.0974666666667,0.0445,0.0150666666667
61,01/22/2021 01:10 PM,Flower,210121-031,,0.0559333333333,0.0785333333333,0.0154
62,01/22/2021 01:10 PM,Flower,210121-032,0.0093,0.108333333333,0.0784,0.0132333333333
63,01/22/2021 01:10 PM,Flower,210121-033,0.0014,0.0577333333333,0.0726666666667,0.0148333333333
64,01/22/2021 01:10 PM,Flower,210121-034,0.0154,0.0568,0.0994666666667,0.0129666666667
66,01/25/2021 03:28 PM,Flower,210125-030,0.0101333333333,0.0634666666667,0.0861333333333,0.0173333333333
72,01/25/2021 12:16 PM,Flower,210124-005,,0.0791,0.0192333333333,0.0175333333333
73,01/25/2021 12:16 PM,Flower,210124-006,0.200333333333,0.0235,0.0360333333333,0.0168666666667
74,01/25/2021 12:16 PM,Flower,210124-007,,0.227333333333,0.0230333333333,0.0182333333333
75,01/25/2021 12:16 PM,Flower,210124-008,0.124333333333,0.142,0.201,0.0191
76,01/25/2021 12:16 PM,Flower,210124-009,,0.0635666666667,0.0420333333333,0.0196666666667
77,01/25/2021 12:16 PM,Flower,210124-010,,0.158666666667,0.0301666666667,0.0180666666667
83,01/27/2021 01:09 PM,Flower,210127-068,0.181333333333,0.0556,0.011278657159691594,0.00713333333333
91,01/27/2021 03:36 PM,Flower,210127-069,0.0517333333333,0.0676666666667,0.312333333333,0.0139666666667
92,01/27/2021 03:36 PM,Flower,210127-070,0.116333333333,0.0125333333333,0.0322,0.0141
93,01/27/2021 03:36 PM,Flower,210127-071,0.0509,0.0395666666667,0.347333333333,0.0161666666667
94,01/27/2021 04:06 PM,Leaf/Mixed Plant Material,210126-015,0.0562666666667,0.0248666666667,0.0214666666667,0.00593333333333
101,02/01/2021 01:41 PM,Flower,210131-001,,0.0209,0.0186333333333,0.0109
102,02/01/2021 01:41 PM,Flower,210131-002,,0.0770666666667,0.0249,0.0093
103,02/01/2021 01:41 PM,Flower,210131-003,0.039,0.0791,0.0211333333333,0.0108333333333
104,02/01/2021 01:41 PM,Flower,210131-004,0.0319,0.0522333333333,0.0209,0.0087
134,02/11/2021 11:13 AM,Flower,210210-010,0.252,0.173666666667,0.562333333333,0.0657666666667
135,02/12/2021 11:50 AM,Flower,210211-027,0.0557,0.0313333333333,0.151333333333,0.00946666666667
138,02/16/2021 02:24 PM,Flower,210210-007,0.0867,0.0303333333333,0.0427333333333,0.00606666666667
139,02/16/2021 02:24 PM,Flower,210210-008,0.170666666667,0.130333333333,0.0404666666667,0.0036
151,02/16/2021 11:57 AM,Flower,210215-071,,0.0664666666667,0.117333333333,0.00866666666667
156,02/18/2021 01:52 PM,Leaf/Mixed Plant Material,210217-016,34.6666666667,4.31,0.04081184867242392,0.142666666667
160,02/19/2021 01:31 PM,Flower,210219-004,0.0293,0.0630666666667,0.123,0.0171
162,02/19/2021 02:52 PM,Flower,210218-006,0.195333333333,0.0851333333333,0.164666666667,0.0166333333333
165,02/19/2021 11:49 AM,Leaf/Mixed Plant Material,210216-007,,0.0179666666667,0.00556666666667,0.0089
167,02/19/2021 11:49 AM,Flower,210216-009,0.0186333333333,0.0813333333333,0.0528333333333,0.0118
168,02/19/2021 11:49 AM,Flower,210216-010,0.0041,0.0275333333333,0.0187666666667,0.0077
169,02/19/2021 11:49 AM,Leaf/Mixed Plant Material,210216-011,0.0228,0.0120333333333,0.00516666666667,0.00553333333333
187,03/01/2021 12:27 PM,Flower,210301-025,0.289,0.113,0.581666666667,0.267
188,03/01/2021 12:27 PM,Flower,210301-026,0.211666666667,0.0908333333333,0.419,0.022
189,03/02/2021 04:53 PM,Flower,210302-033,0.871,1.22,1.78,0.227
190,03/02/2021 04:53 PM,Flower,210302-034,0.0184666666667,0.221333333333,0.163333333333,0.0221
191,03/02/2021 04:53 PM,Flower,210302-035,,0.137,0.0674666666667,0.0195
192,03/04/2021 01:32 PM,Flower,210303-004,0.353,0.0347,0.437,0.0199666666667
194,03/04/2021 12:43 PM,Flower,210301-012,0.0734,0.0449666666667,0.0402666666667,0.0178666666667
195,03/05/2021 02:47 PM,Flower,210303-010,,0.0133333333333,0.107666666667,
201,03/08/2021 08:52 AM,Flower,210306-001,,0.0311,0.169666666667,
210,03/10/2021 11:10 AM,Flower,210309-028,0.0513,0.0314333333333,0.024889543611496576,0.00396666666667
216,03/15/2021 12:27 PM,Flower,210315-013,0.343333333333,0.204,0.416333333333,0.0031
217,03/15/2021 12:27 PM,Flower,210315-014,0.245666666667,0.0551666666667,0.0664333333333,0.0007
218,03/15/2021 12:27 PM,Flower,210315-015,0.132,0.0375666666667,0.158333333333,0.0168333333333
219,03/15/2021 12:27 PM,Flower,210315-016,0.195666666667,0.348,0.461333333333,0.0014
220,03/15/2021 12:27 PM,Flower,210315-017,,0.0127333333333,0.145,0.0011
221,03/15/2021 12:27 PM,Flower,210315-018,0.182666666667,0.0322333333333,0.384666666667,0.00126666666667
222,03/15/2021 12:27 PM,Flower,210315-019,0.128666666667,0.0187333333333,0.11,0.00336666666667
223,03/15/2021 12:27 PM,Flower,210315-020,0.0291,0.0505666666667,0.0687666666667,0.00483333333333
224,03/15/2021 12:27 PM,Flower,210315-021,0.046,0.086,0.103,3.33333333333e-05
225,03/15/2021 12:27 PM,Flower,210315-023,0.0888666666667,0.0377333333333,0.123333333333,
226,03/15/2021 12:27 PM,Flower,210315-024,0.113,0.0251,0.134333333333,0.00243333333333
229,03/15/2021 12:27 PM,Flower,210315-022,0.0889333333333,0.131333333333,0.107666666667,3.33333333333e-05
230,03/15/2021 12:42 PM,Leaf/Mixed Plant Material,210314-001,0.0788666666667,0.0344,0.009214680849939153,
273,03/19/2021 09:37 AM,Flower,210318-010,0.0809666666667,0.00296666666667,0.101833333333,
276,03/23/2021 03:07 PM,Flower,210322-017,0.0603666666667,0.0384666666667,0.0313333333333,0.0350333333333
277,03/23/2021 03:07 PM,Flower,210322-018,0.195866666667,0.0409,0.136666666667,0.208666666667
278,03/23/2021 03:07 PM,Flower,210322-019,0.0993333333333,0.0550666666667,0.00316666666667,0.0427333333333
279,03/26/2021 01:41 PM,Flower,210326-007,0.0847333333333,0.00233333333333,0.01219947262301659,0.00296666666667
280,03/26/2021 01:41 PM,Flower,210326-008,,0.0182666666667,0.00926666666667,0.00433333333333
281,03/26/2021 01:41 PM,Flower,210326-009,,0.0481333333333,0.0293333333333,0.0066
282,03/26/2021 01:41 PM,Flower,210326-010,0.0297,0.0854,0.0228666666667,0.00706666666667
287,03/29/2021 12:00 PM,Flower,210329-007,0.0635,0.111666666667,0.0110666666667,0.00253333333333
288,03/29/2021 12:00 PM,Flower,210329-008,0.170333333333,0.0761666666667,0.00976666666667,0.00356666666667
289,03/29/2021 12:00 PM,Flower,210329-009,0.0245,0.0577,0.0068,0.00233333333333
295,04/02/2021 08:54 AM,Flower,210331-017,0.794,0.0385666666667,0.00193333333333,0.00563333333333
299,04/07/2021 01:09 PM,Leaf/Mixed Plant Material,210407-005,0.222666666667,0.0381666666667,0.419666666667,0.00933333333333
300,04/07/2021 01:09 PM,Flower,210407-006,,0.253333333333,0.174,0.00923333333333
304,04/13/2021 01:43 PM,Flower,210413-006,,0.0978333333333,0.0161666666667,0.00326666666667
315,04/16/2021 03:10 PM,Leaf/Mixed Plant Material,210416-008,0.418666666667,0.0559666666667,0.250666666667,0.0232
316,04/16/2021 03:10 PM,Leaf/Mixed Plant Material,210416-009,,0.267333333333,0.469666666667,0.00136666666667
322,04/23/2021 12:36 PM,Leaf/Mixed Plant Material,210423-018,0.529,0.0636333333333,1.17666666667,0.00116666666667
323,04/23/2021 12:36 PM,Leaf/Mixed Plant Material,210423-019,0.573,0.0382666666667,1.34666666667,0.00206666666667
324,04/23/2021 12:36 PM,Leaf/Mixed Plant Material,210423-020,0.656333333333,0.041,1.66,0.00233333333333
325,04/23/2021 12:36 PM,Leaf/Mixed Plant Material,210423-021,0.508666666667,0.0362,1.22,0.0012
326,04/23/2021 12:36 PM,Leaf/Mixed Plant Material,210423-022,0.523333333333,0.0602333333333,1.27333333333,0.00176666666667
